"Occupancy Rate by Region (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Northland","","","Auckland","","","Waikato","","","Bay of Plenty","","","Hawke's Bay, Gisborne","","","Taranaki, Manawatu, Wanganui","","","Wellington","","","Nelson, Marlborough, Tasman","","","Canterbury","","","West Coast","","","Otago","","","Southland","","","North Island","","","South Island","","","New Zealand","",""
" ","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks"
"2000M05",13.96,31.21,3642,41.60,51.01,12272,18.99,35.15,5847,22.58,42.48,5299,19.68,35.63,2410,20.73,32.64,4756,43.82,55.04,4291,19.39,36.08,3325,26.30,40.30,9454,20.75,27.58,2502,22.55,37.46,7666,21.69,30.39,2097,"..","..",38517,"..","..",25044,25.05,40.41,63561
"2000M06",11.41,25.74,3776,39.48,48.77,12207,20.18,36.98,5888,22.21,41.40,5260,19.42,35.13,2393,20.88,31.64,4801,41.53,51.88,4404,17.99,33.67,3256,23.40,36.21,9527,17.77,24.10,2547,19.98,33.59,7739,16.70,24.31,2066,"..","..",38729,"..","..",25135,23.46,37.87,63864
"2000M07",10.63,24.08,3788,41.79,51.75,12237,21.36,39.16,5805,24.87,47.69,5261,19.98,35.84,2396,23.55,34.68,5235,44.38,54.94,4596,18.61,35.12,3190,27.62,42.97,9523,20.99,27.92,2584,34.09,52.59,7838,17.09,24.53,2066,"..","..",39318,"..","..",25201,26.95,43.07,64519
"2000M08",11.16,25.55,3790,40.11,49.92,12070,19.42,35.54,5869,22.88,43.78,5276,18.73,33.85,2396,25.11,37.25,5262,49.38,62.41,4474,18.46,34.87,3196,26.82,41.37,9603,19.81,26.06,2659,38.16,59.02,7955,17.85,26.14,2066,"..","..",39137,"..","..",25479,26.94,43.28,64616
"2000M09",13.55,29.31,3897,40.43,49.67,12074,22.66,40.17,5887,24.96,46.61,5296,21.94,38.57,2383,26.49,39.12,5197,47.96,58.98,4618,20.78,37.66,3255,28.92,43.67,9709,23.11,29.04,2659,35.17,51.44,7954,21.00,30.24,2127,"..","..",39352,"..","..",25704,28.27,44.00,65056
"2000M10",17.88,39.11,3925,46.73,57.33,12309,25.63,43.72,5913,27.77,49.93,5280,25.52,42.68,2366,24.12,36.02,5007,49.24,59.64,4647,23.89,42.26,3386,35.32,52.10,9676,31.12,36.51,2679,33.66,49.60,8094,26.25,36.61,2127,"..","..",39447,"..","..",25962,31.53,48.38,65409
"2000M11",21.82,45.24,3929,56.59,68.66,12392,28.29,47.62,5906,30.74,56.96,5294,27.88,48.76,2403,25.97,38.97,4825,58.06,71.02,4732,29.84,55.77,3442,34.86,62.29,9633,43.14,53.65,2766,40.80,61.90,8076,39.31,53.77,2249,"..","..",39481,"..","..",26166,36.53,58.10,65647
"2000M12",28.65,49.22,3917,49.93,57.43,12419,34.83,46.98,5945,35.34,54.69,5148,30.96,48.14,2415,23.16,30.65,4877,47.89,56.21,4703,39.35,55.32,3434,34.47,54.00,9682,44.11,50.19,2760,41.64,57.44,8103,37.78,47.77,2258,"..","..",39424,"..","..",26237,37.47,52.11,65661
"2001M01",37.42,57.71,3950,56.86,64.23,12480,44.84,54.81,5945,52.25,65.37,5312,44.94,62.92,2415,28.85,34.21,4834,52.52,60.41,4728,59.58,71.98,3507,40.67,61.35,9749,55.15,60.04,2847,54.41,67.08,8043,45.86,55.34,2269,"..","..",39664,"..","..",26415,47.71,60.42,66079
"2001M02",29.07,58.45,3951,60.67,73.24,12348,35.19,56.28,5975,39.70,67.24,5276,38.88,63.22,2402,28.86,41.69,4846,61.52,73.33,4794,48.20,74.29,3513,42.20,71.90,9621,56.84,66.39,2879,51.51,74.96,8051,53.09,67.29,2270,"..","..",39592,"..","..",26334,44.78,67.22,65926
