"Actual by Accommodation by Type by Variable (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total","","","","","","Hotels","","","","","","Motels","","","","","","Backpackers","","","","","","Holiday parks","","","","","","Total excluding holiday parks","","","","",""
" ","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)"
"2001M06",2855,3452520,1432712,25.3,1.8,115084,578,799980,523032,42.2,1.8,26666,1581,703230,565743,42.0,1.8,23441,302,477870,172393,32.1,2.0,15929,394,1471440,171544,5.9,2.1,49048,2461,1981080,1261167,39.7,1.8,66036
"2001M07",2864,3577617,1802223,28.9,1.9,115407,581,828444,661140,48.1,1.9,26724,1587,733150,729463,47.9,1.9,23650,307,503781,210281,37.1,2.2,16251,389,1512242,201338,6.3,2.2,48782,2475,2065375,1600884,45.4,1.9,66625
"2001M08",2876,3590389,1757486,29.2,1.9,115819,585,834892,687005,51.3,1.9,26932,1590,739474,664720,45.5,1.9,23854,313,511996,208812,36.6,2.2,16516,388,1504027,196949,6.5,2.2,48517,2488,2086362,1560537,45.6,1.9,67302
"2001M09",2905,3520440,1863683,30.5,1.9,117348,587,808860,671370,50.6,1.9,26962,1602,717300,726204,49.6,1.9,23910,316,497370,206428,37.7,2.1,16579,400,1496910,259681,8.1,2.0,49897,2505,2023530,1604002,47.0,1.9,67451
"2001M10",2916,3681560,2076713,32.8,1.8,118760,588,841185,723668,53.7,1.8,27135,1598,738017,774324,52.3,1.8,23807,318,514879,233389,40.9,2.0,16609,412,1587479,345331,10.1,2.0,51209,2504,2094081,1731382,50.1,1.8,67551
"2001M11",2933,3661170,2229590,36.2,1.8,122039,587,811470,791895,61.1,1.7,27049,1607,714690,769124,55.7,1.8,23823,321,501120,283707,50.5,1.9,16704,418,1633890,384865,11.0,1.8,54463,2515,2027280,1844726,56.6,1.8,67576
"2001M12",2947,3821866,2831237,37.8,2.0,123286,591,847912,766262,51.8,1.7,27352,1611,742109,856253,52.4,1.8,23939,323,528767,307573,50.9,1.9,17057,422,1703078,901150,20.4,2.4,54938,2525,2118788,1930088,51.8,1.8,68348
"2002M01",2952,3827291,3840258,48.1,2.1,123461,588,844657,866741,57.8,1.8,27247,1616,743659,1117089,64.3,1.9,23989,319,524737,357214,61.4,2.0,16927,429,1714238,1499215,32.2,2.8,55298,2523,2113053,2341044,61.0,1.9,68163
"2002M02",2956,3466988,2829400,46.6,1.8,123821,586,765044,897572,70.9,1.7,27323,1621,677488,954917,69.5,1.8,24196,321,478772,343608,64.6,1.9,17099,428,1545684,633304,19.0,2.0,55203,2528,1921304,2196097,68.8,1.8,68618
"2002M03",2949,3830236,3070082,45.1,1.9,123556,582,848408,971232,68.9,1.8,27368,1619,748743,1065722,68.6,1.8,24153,322,531867,367035,61.7,2.0,17157,426,1701218,666093,17.6,1.9,54878,2523,2129018,2403989,67.0,1.9,68678
"2002M04",2934,3600780,2269600,36.5,1.8,120026,580,819510,755659,56.1,1.8,27317,1614,724050,814520,55.2,1.7,24135,322,517920,294627,51.5,1.9,17264,418,1539300,404794,12.1,1.9,51310,2516,2061480,1864806,54.6,1.8,68716
"2002M05",2905,3662216,1681505,28.7,1.8,118136,582,845339,627892,47.7,1.7,27269,1609,745271,596129,43.6,1.7,24041,314,522877,233008,39.3,2.0,16867,400,1548729,224477,7.6,1.9,49959,2505,2113487,1457028,44.2,1.8,68177
"2002M06",2876,3510000,1538521,26.7,1.9,117000,583,814980,555124,44.0,1.8,27166,1596,719400,595597,43.0,1.8,23980,305,500040,197527,35.4,2.1,16668,392,1475580,190274,6.4,2.1,49186,2484,2034420,1348248,41.5,1.8,67814
"2002M07",2867,3627124,1926479,30.6,2.0,117004,583,850702,712314,50.8,2.0,27442,1590,743256,760213,49.3,1.9,23976,309,536176,234891,39.0,2.2,17296,385,1496990,219062,6.8,2.1,48290,2482,2130134,1707418,47.3,2.0,68714
"2002M08",2862,3634967,1828564,29.8,2.0,117257,581,855507,708186,51.1,2.0,27597,1590,744961,690079,46.5,1.9,24031,306,533014,226012,37.6,2.2,17194,385,1501485,204286,6.7,2.3,48435,2477,2133482,1624278,46.1,2.0,68822
"2002M09",2895,3554250,1930539,31.7,1.9,118475,578,829110,691292,51.4,1.9,27637,1608,724920,747631,50.8,1.8,24164,314,519090,230676,40.1,2.1,17303,395,1481130,260939,8.3,1.9,49371,2500,2073120,1669600,48.3,1.9,69104
"2002M10",2926,3706949,2205203,35.0,1.9,119579,581,860653,806307,58.9,1.9,27763,1618,752184,812395,53.9,1.8,24264,319,549134,255140,42.1,2.0,17714,408,1544978,331361,9.9,1.9,49838,2518,2161971,1873842,52.9,1.9,69741
